keyword,high_score,low_score,difference
team,0.2918632908834426,0.0,0.2918632908834426
relevant,0.177496064666603,0.0,0.177496064666603
work,0.1767867204911904,0.0,0.1767867204911904
friendly,0.16733298527675938,0.0,0.16733298527675938
culture,0.16733298527675938,0.0,0.16733298527675938
quality,0.16592749947230598,0.0,0.16592749947230598
strong,0.15894964656663094,0.0,0.15894964656663094
annual,0.15866254041105074,0.0,0.15866254041105074
help,0.15545662744333782,0.0,0.15545662744333782
contribute,0.15163989248136178,0.0,0.15163989248136178
collaborative,0.12892427154452307,0.0,0.12892427154452307
value,0.1283008856790962,0.0,0.1283008856790962
competitive,0.12502309594279432,0.0,0.12502309594279432
flexible,0.12500009131605558,0.0,0.12500009131605558
learning,0.12356186676457394,0.0,0.12356186676457394
grow,0.12176161530494009,0.0,0.12176161530494009
ll,0.12176161530494009,0.0,0.12176161530494009
projects,0.11402118437468468,0.0,0.11402118437468468
public holidays,0.10283679263462607,0.0,0.10283679263462607
plus,0.10283679263462607,0.0,0.10283679263462607
public,0.10283679263462607,0.0,0.10283679263462607
paid leave,0.10283679263462607,0.0,0.10283679263462607
leave plus,0.10283679263462607,0.0,0.10283679263462607
leave,0.10283679263462607,0.0,0.10283679263462607
days paid,0.10283679263462607,0.0,0.10283679263462607
days,0.10283679263462607,0.0,0.10283679263462607
25,0.10283679263462607,0.0,0.10283679263462607
25 days,0.10283679263462607,0.0,0.10283679263462607
plus public,0.10283679263462607,0.0,0.10283679263462607
holidays,0.10283679263462607,0.0,0.10283679263462607
paid,0.10283679263462607,0.0,0.10283679263462607
degree relevant,0.1028316891469591,0.0,0.1028316891469591
equivalent,0.1028316891469591,0.0,0.1028316891469591
field,0.1028316891469591,0.0,0.1028316891469591
practical,0.1028316891469591,0.0,0.1028316891469591
practical experience,0.1028316891469591,0.0,0.1028316891469591
relevant field,0.1028316891469591,0.0,0.1028316891469591
data,0.10182817393452386,0.03912619835245845,0.0627019755820654
skills,0.09085875053634851,0.07201684604243236,0.01884190449391615
stakeholders,0.13515166314822136,0.11826451662345853,0.016887146524762822
management,0.07934470901094733,0.12451553923861003,-0.0451708302276627
hours,0.10153589153419652,0.14691111474697774,-0.045375223212781216
years,0.08216400137099744,0.1397517074330913,-0.057587706062093846
attention,0.08409861360003994,0.14616626096653895,-0.062067647366499015
offer,0.10917832951852643,0.17658596984419858,-0.06740764032567215
responsibilities,0.08500682982833237,0.2247816148340747,-0.1397747850057423
salary,0.0681604623907268,0.2299645307692305,-0.1618040683785037
experience,0.1296985355258032,0.2956582350123442,-0.16595969948654096
requirements,0.08500682982833237,0.3048822035937453,-0.21987537376541294
required,0.0,0.6478308767290772,-0.6478308767290772
